respondent_serial,respondent_id,country,yearbornin_1_slice,yearbornin_1_slice1,ageofrespondent,indicateage,gender,occstatus,levelsch,highestlevel,unisch,postgradsch,occupationindustry,occupation2,whichauthority,rankmostimptchild_1,rankmostimptchild_2,rankmostimptchild_3,livinginsg_1_slice,livinginsg_2_slice,livinginsg_3_slice,livinginsg_4_slice,vbc,sliderliberty_1_slice,maritialstatus,children,noofchildren,childage,personalincome,hhi,socialnetwork_1_slice,socialnetwork_2_slice,socialnetwork_3_slice,socialnetwork_4_slice,socialnetwork_5_slice,socialnetwork_6_slice,socialnetwork_dp01,socialnetwork_dp02,socialnetwork_dp03,socialnetwork_dp04,socialnetwork_dp05,socialnetwork_dp06,socialnetwork_dp07,socialnetwork_dp08,socialnetwork_dp09,socialnetwork_dp10,q20_q211,q20_q212,q20_q213,q20_q214,ban_age,ban_gender,ban_personal_inc,ban_mhi,ban_q18_q191,ban_q18_q192,ban_q18_q193,ban_q18_q194,ban_education1,ban_education2,ban_education3,ban_education4,ban_occupation_status1,ban_occupation_status2,ban_occupation_status3,ban_occupation_status4,ban_occupation_status5,ban_occupation_status6,ban_occupation_status7,ban_occupation_status8,ban_occupation_status9,ban_occupation_role1,ban_occupation_role2,ban_occupation_role3,ban_occupation_role4,ban_occupation_role5,ban_occupation_role6,ban_occupation_role7,ban_occupation_role8,ban_marital,ban_children1,ban_children2,ban_children3,ban_children4,ban_no_ofchildren,ban_age_youngest,ban_q28,ban_q30_1,ban_q30_2,ban_q30_3,ban_q30_4,ban_q32,ban_q431,ban_q432,ban_q433,ban_q434,ban_q435,ban_q436,ban_q437,md_segment
465,GEN24_1716,Singapore,1982,39,39,35-44 years old,Female,Employer (i.e. persons who operate own business WITH paid employees),-,"University undergraduate (i.e., general/honours degree)",Overseas Institutions outside Singapore,-,Financial and Insurance Activities,Business owner/ Sole proprietor/ Self-employed,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,Yes,2,7 to 12 years old,"$4,000-$5,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,35-44 yo,Female,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,7 to 12 years old,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Harm_Care
469,GEN24_1717,Singapore,1984,37,37,35-44 years old,Female,Housewife / homemaker,-,"University undergraduate (i.e., general/honours degree)",Overseas Institutions outside Singapore,-,Manufacturing,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Married,Yes,2,1 to 6 years old,No personal income,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,35-44 yo,Female,Low (below $3k),-,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,1 to 6 years old,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Harm_Care
475,GEN24_1718,Singapore,1968,53,53,45-54 years old,Male,Employee (working full-time in private sector),-,"University postgraduate (e.g. MA, MSc., MBA, PhD)",-,Local University in Singapore,Education,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",3,1,2,Agree,Agree,Neutral,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Married,Yes,4,1 to 6 years old,"$1,000-$1,999","$1,000-$1,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,45-54 yo,Male,Low (below $3k),Low (below $4k),No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Married,Yes,No,No,No,Net - More than 3 children,1 to 6 years old,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,Neutral,T2B,T2B,No,No,No,Yes,No,Yes,No,Harm_Care
477,GEN24_1719,Singapore,1970,51,51,45-54 years old,Female,Housewife / homemaker,-,"University postgraduate (e.g. MA, MSc., MBA, PhD)",-,Overseas Institutions outside Singapore,Never worked before,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Married,Yes,1,22 years or older,No personal income,"$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,45-54 yo,Female,Low (below $3k),Medium ($4k to $9.9k),No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,-,-,-,-,-,-,-,-,Married,Yes,No,No,No,1 child,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
483,GEN24_1720,Singapore,1957,64,64,55-64 years old,Female,Employee (working full-time in private sector),-,None or Primary school,-,-,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Divorced / Widowed / Separated,Yes,2,22 years or older,"$2,000-$2,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Divorced/ Widowed/ Separated,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
691,GEN24_1721,Singapore,1953,68,68,65 years old and above,Female,Employee (working full-time in private sector),-,Secondary school,-,-,Wholesale and Retail Trade,Middle Management (Department/ Functional Senior Manager or Manager),"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",2,3,1,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Married,Yes,3,22 years or older,"$3,000-$3,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,65 yo +,Female,Medium ($3k to $7.9k),Medium ($4k to $9.9k),Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,Neutral,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
693,GEN24_1722,Singapore,1948,73,73,65 years old and above,Male,Employer (i.e. persons who operate own business WITH paid employees),-,Junior College/Centralised Institute,-,-,Wholesale and Retail Trade,Business owner/ Sole proprietor/ Self-employed,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Neutral,Neutral,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,Yes,3,22 years or older,"$3,000-$3,999","$6,000-$7,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,65 yo +,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,Yes,No,No,-,-,-,-,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,Neutral,Neutral,Neutral,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
695,GEN24_1723,Singapore,2004,17,17,16-24 years old,Male,Full-time student,ITE/Vocational Institute,None or Primary school,-,-,Never worked before,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Single,No,-,-,No personal income,Prefer not to answer,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,-,-,-,-,16-24 yo,Male,Low (below $3k),-,Yes,Yes,No,No,-,-,-,-,Yes,No,No,No,No,Yes,No,No,No,-,-,-,-,-,-,-,-,Single,No,Yes,No,Yes,-,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,Neutral,T2B,T2B,T2B,No,No,Yes,No,No,Yes,No,Purity_Degradation
697,GEN24_1724,Singapore,1986,35,35,35-44 years old,Male,Employee (working full-time in private sector),-,"University undergraduate (i.e., general/honours degree)",Local University in Singapore,-,Financial and Insurance Activities,Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,1,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Single,No,-,-,"$4,000-$5,999",Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,35-44 yo,Male,Medium ($3k to $7.9k),-,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Single,No,Yes,No,Yes,-,-,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
706,GEN24_1725,Singapore,1954,67,67,65 years old and above,Female,Housewife / homemaker,-,Secondary school,-,-,Financial and Insurance Activities,"Non-management (Clerical/ Technical staff, General Worker)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,2,22 years or older,No personal income,Prefer not to answer,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,-,-,-,-,65 yo +,Female,Low (below $3k),-,Yes,No,No,No,-,-,-,-,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,No,Yes,No,No,Yes,No,Purity_Degradation
760,GEN24_1726,Singapore,1976,45,45,45-54 years old,Female,Employee (working part-time/casual),-,Secondary school,-,-,Information and Communications,Business owner/ Sole proprietor/ Self-employed,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Neutral,Neutral,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Divorced / Widowed / Separated,Yes,1,13 to 17 years old,"$2,000-$2,999",Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,45-54 yo,Female,Low (below $3k),-,Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Divorced/ Widowed/ Separated,Yes,No,No,No,1 child,13 to 17 years old,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,Neutral,Neutral,Neutral,Neutral,No,No,No,Yes,No,Yes,No,Harm_Care
773,GEN24_1727,Singapore,2005,16,16,16-24 years old,Male,Full-time student,Secondary school,None or Primary school,-,-,Never worked before,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Single,No,-,-,No personal income,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,16-24 yo,Male,Low (below $3k),-,Yes,No,No,No,-,-,-,-,Yes,No,No,No,No,Yes,No,No,No,-,-,-,-,-,-,-,-,Single,No,Yes,No,Yes,-,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
778,GEN24_1728,Singapore,1976,45,45,45-54 years old,Female,Employee (working full-time in private sector),-,"University undergraduate (i.e., general/honours degree)",Overseas Institutions outside Singapore,-,Financial and Insurance Activities,Middle Management (Department/ Functional Senior Manager or Manager),"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,2,13 to 17 years old,"$6,000-$7,999",Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,45-54 yo,Female,Medium ($3k to $7.9k),-,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,13 to 17 years old,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
783,GEN24_1729,Singapore,1988,33,33,25-34 years old,Male,Employee (working full-time in private sector),-,"University undergraduate (i.e., general/honours degree)",Local University in Singapore,-,Transportation and Storage,Middle Management (Department/ Functional Senior Manager or Manager),"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,No,-,-,"$4,000-$5,999",Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,25-34 yo,Male,Medium ($3k to $7.9k),-,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Married,No,Yes,No,Yes,-,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
790,GEN24_1730,Singapore,1958,63,63,55-64 years old,Male,Employer (i.e. persons who operate own business WITH paid employees),-,Junior College/Centralised Institute,-,-,Wholesale and Retail Trade,Business owner/ Sole proprietor/ Self-employed,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Married,Yes,4,22 years or older,Prefer not to answer,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Male,-,-,No,Yes,No,No,-,-,-,-,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Married,Yes,No,No,No,Net - More than 3 children,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
834,GEN24_1731,Singapore,1989,32,32,25-34 years old,Female,Employee (working full-time in private sector),-,"University undergraduate (i.e., general/honours degree)",Overseas Institutions outside Singapore,-,Information and Communications,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Married,No,-,-,"$4,000-$5,999","$20,000-$29,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,25-34 yo,Female,Medium ($3k to $7.9k),High ($10k and above),No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Married,No,Yes,No,Yes,-,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
843,GEN24_1732,Singapore,1957,64,64,55-64 years old,Female,Housewife / homemaker,-,Secondary school,-,-,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,2,22 years or older,No personal income,"$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Female,Low (below $3k),High ($10k and above),Yes,No,No,No,-,-,-,-,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Fairness_Cheating
846,GEN24_1733,Singapore,1952,69,69,65 years old and above,Male,Retiree,-,None or Primary school,-,-,Transportation and Storage,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,Yes,4,22 years or older,No personal income,Prefer not to answer,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,-,-,-,-,65 yo +,Male,Low (below $3k),-,Yes,No,No,No,-,-,-,-,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,Net - More than 3 children,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,Yes,No,No,Yes,No,Purity_Degradation
860,GEN24_1734,Singapore,1966,55,55,55-64 years old,Male,Employee (working full-time in private sector),-,"University undergraduate (i.e., general/honours degree)",Local University in Singapore,-,Information and Communications,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Neutral,Agree,Neutral,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Married,No,-,-,Prefer not to answer,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,55-64 yo,Male,-,-,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Married,No,Yes,No,Yes,-,-,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,T2B,Neutral,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
864,GEN24_1735,Singapore,2005,16,16,16-24 years old,Male,Full-time student,Secondary school,None or Primary school,-,-,Never worked before,-,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Single,No,-,-,No personal income,"$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,16-24 yo,Male,Low (below $3k),High ($10k and above),Yes,No,No,No,-,-,-,-,Yes,No,No,No,No,Yes,No,No,No,-,-,-,-,-,-,-,-,Single,No,Yes,No,Yes,-,-,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Harm_Care
884,GEN24_1736,Singapore,1951,70,70,65 years old and above,Male,Retiree,-,None or Primary school,-,-,Wholesale and Retail Trade,Business owner/ Sole proprietor/ Self-employed,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,Yes,4,22 years or older,No personal income,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,65 yo +,Male,Low (below $3k),-,Yes,No,No,No,-,-,-,-,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Married,Yes,No,No,No,Net - More than 3 children,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
885,GEN24_1737,Singapore,1957,64,64,55-64 years old,Female,Employee (working full-time in private sector),-,Secondary school,-,-,Other Service Activities,"Non-management (Clerical/ Technical staff, General Worker)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Neutral,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Married,Yes,3,22 years or older,Prefer not to answer,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Female,-,-,Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
886,GEN24_1738,Singapore,1948,73,73,65 years old and above,Male,Retiree,-,"University postgraduate (e.g. MA, MSc., MBA, PhD)",-,Local University in Singapore,Education,Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",1,Married,Yes,2,22 years or older,"$3,000-$3,999","$3,000-$3,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,65 yo +,Male,Medium ($3k to $7.9k),Low (below $4k),No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
887,GEN24_1739,Singapore,1949,72,72,65 years old and above,Female,Housewife / homemaker,-,"University undergraduate (i.e., general/honours degree)",Overseas Institutions outside Singapore,-,Never worked before,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",2,1,3,Agree,Neutral,Agree,Agree,People should have the right to say what they want without being punished for it (or face any consequences),5,Married,Yes,2,22 years or older,No personal income,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,65 yo +,Female,Low (below $3k),-,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,-,-,-,-,-,-,-,-,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,Neutral,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
888,GEN24_1740,Singapore,1945,76,76,65 years old and above,Male,Retiree,-,"University postgraduate (e.g. MA, MSc., MBA, PhD)",-,Overseas Institutions outside Singapore,Education,"Senior Management (CEO, COO, Director & above, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Strongly Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",1,Married,Yes,1,22 years or older,"$20,000 & above","$30,000 & above",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,65 yo +,Male,High ($8k and above),High ($10k and above),No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Married,Yes,No,No,No,1 child,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
1076,GEN24_1741,Singapore,1965,56,56,55-64 years old,Female,Housewife / homemaker,-,Secondary school,-,-,Construction,"Non-management (Clerical/ Technical staff, General Worker)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,Yes,2,22 years or older,No personal income,"$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,-,-,-,-,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
1077,GEN24_1742,Singapore,1993,28,28,25-34 years old,Female,Employee (working full-time in private sector),-,"University undergraduate (i.e., general/honours degree)",Local University in Singapore,-,Manufacturing,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",1,2,3,Neutral,Neutral,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",4,Single,No,-,-,"$3,000-$3,999","$15,000-$19,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,25-34 yo,Female,Medium ($3k to $7.9k),High ($10k and above),No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Single,No,Yes,No,Yes,-,-,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",Neutral,Neutral,Neutral,Neutral,T2B,No,No,No,Yes,No,Yes,No,Harm_Care
