respondent_serial,respondent_id,yearbornin_1_slice,yearbornin_1_slice1,ageofrespondent,indicateage,gender,occstatus,highestlevel,occupationindustry,occupation2,whichauthority,rankmostimptchild_1,rankmostimptchild_2,rankmostimptchild_3,livinginsg_1_slice,livinginsg_2_slice,livinginsg_3_slice,livinginsg_4_slice,vbc,sliderliberty_1_slice,maritialstatus,children,personalincome,hhi,socialnetwork_1_slice,socialnetwork_2_slice,socialnetwork_3_slice,socialnetwork_4_slice,socialnetwork_5_slice,socialnetwork_6_slice,socialnetwork_dp01,socialnetwork_dp02,socialnetwork_dp03,socialnetwork_dp04,socialnetwork_dp05,socialnetwork_dp06,socialnetwork_dp07,socialnetwork_dp08,socialnetwork_dp09,socialnetwork_dp10,ban_age,ban_gender,ban_personal_inc,ban_mhi,ban_q18_q191,ban_q18_q192,ban_q18_q193,ban_q18_q194,ban_occupation_status1,ban_occupation_status2,ban_occupation_status3,ban_occupation_status4,ban_occupation_status5,ban_occupation_status6,ban_occupation_status7,ban_occupation_status8,ban_occupation_status9,ban_occupation_role1,ban_occupation_role2,ban_occupation_role3,ban_occupation_role4,ban_occupation_role5,ban_occupation_role6,ban_occupation_role7,ban_occupation_role8,ban_marital,ban_children1,ban_children2,ban_children3,ban_children4,ban_q28,ban_q30_1,ban_q30_2,ban_q30_3,ban_q30_4,ban_q32,ban_q431,ban_q432,ban_q433,ban_q434,ban_q435,ban_q436,ban_q437,md_segment
440,GEN24_2853,1973,48,48,45-54 years old,Female,Housewife / homemaker,Secondary school,Other Service Activities,"Non-management (Clerical/ Technical staff, General Worker)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Neutral,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$1,000-$1,999","$6,000-$7,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,Neutral,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Fairness_Cheating
482,GEN24_2856,1980,41,41,35-44 years old,Female,Housewife / homemaker,None or Primary school,Manufacturing,"Non-management (Clerical/ Technical staff, General Worker)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",3,Married,Yes,"Below $1,000","$2,000-$2,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Fairness_Cheating
484,GEN24_2857,1971,50,50,45-54 years old,Female,Employee (working full-time in private sector),None or Primary school,Accommodation and Food Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Married,Yes,"$1,000-$1,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,45-54 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,T2B,No,No,Yes,No,No,No,Yes,Purity_Degradation
486,GEN24_2858,1997,24,24,16-24 years old,Female,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Financial and Insurance Activities,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Agree,Neutral,Neutral,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Single,No,"$2,000-$2,999","$6,000-$7,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,16-24 yo,Female,Low (below $3k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,Neutral,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
493,GEN24_2859,1992,29,29,25-34 years old,Female,Employer (i.e. persons who operate own business WITH paid employees),"University undergraduate (i.e., general/honours degree)",Wholesale and Retail Trade,Business owner/ Sole proprietor/ Self-employed,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",3,1,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Single,No,"$4,000-$5,999","$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,25-34 yo,Female,Medium ($3k to $7.9k),High ($10k and above),No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Single,No,Yes,No,Yes,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
497,GEN24_2860,1994,27,27,25-34 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Financial and Insurance Activities,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Single,No,"$4,000-$5,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,25-34 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Single,No,Yes,No,Yes,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
560,GEN24_2861,1984,37,37,35-44 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Information and Communications,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Neutral,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Single,No,"$4,000-$5,999","$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Male,Medium ($3k to $7.9k),High ($10k and above),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Single,No,Yes,No,Yes,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
561,GEN24_2862,1960,61,61,55-64 years old,Female,Housewife / homemaker,None or Primary school,Accommodation and Food Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,"$1,000-$1,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,55-64 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
564,GEN24_2863,1970,51,51,45-54 years old,Female,Employee (working full-time in private sector),Polytechnic,Real Estate Activities,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Neutral,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Single,No,"$1,000-$1,999","$1,000-$1,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Female,Low (below $3k),Low (below $4k),No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Single,No,Yes,No,Yes,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,Neutral,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
567,GEN24_2864,1956,65,65,65 years old and above,Female,Employee (working part-time/casual),None or Primary school,Wholesale and Retail Trade,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Disagree,Agree,Disagree,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Single,No,"$1,000-$1,999","$1,000-$1,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,65 yo +,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",B2B,T2B,B2B,Neutral,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
570,GEN24_2865,1986,35,35,35-44 years old,Male,Employee (working full-time in private sector),Polytechnic,"Professional, Scientific and Technical Activities","Non-management (Clerical/ Technical staff, General Worker)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",2,1,3,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$2,000-$2,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Male,Low (below $3k),Medium ($4k to $9.9k),No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,Neutral,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Fairness_Cheating
588,GEN24_2867,1967,54,54,45-54 years old,Female,Employee (working full-time in private sector),None or Primary school,Other Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Divorced / Widowed / Separated,Yes,"$1,000-$1,999","$1,000-$1,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,45-54 yo,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Divorced/ Widowed/ Separated,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,No,Yes,No,No,No,Yes,Fairness_Cheating
590,GEN24_2868,1997,24,24,16-24 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Financial and Insurance Activities,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",4,Single,No,"$2,000-$2,999","$6,000-$7,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,16-24 yo,Male,Low (below $3k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Single,No,Yes,No,Yes,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,Neutral,Neutral,T2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
593,GEN24_2869,1954,67,67,65 years old and above,Female,Housewife / homemaker,Polytechnic,Health and Social Services,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,"$1,000-$1,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,65 yo +,Female,Low (below $3k),Medium ($4k to $9.9k),No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
596,GEN24_2870,1951,70,70,65 years old and above,Female,Housewife / homemaker,None or Primary school,Manufacturing,"Blue Collar Unskilled (Labourer, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",3,1,2,Disagree,Neutral,Disagree,Agree,People should have the right to say what they want without being punished for it (or face any consequences),3,Married,Yes,"$1,000-$1,999","$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,65 yo +,Female,Low (below $3k),High ($10k and above),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",B2B,Neutral,B2B,T2B,Neutral,No,No,Yes,No,No,No,Yes,Loyal_betrayal
743,GEN24_2871,1955,66,66,65 years old and above,Female,Housewife / homemaker,None or Primary school,Manufacturing,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Agree,Disagree,Agree,People should have the right to say what they want without being punished for it (or face any consequences),4,Married,Yes,No personal income,"$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,65 yo +,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,B2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
744,GEN24_2872,1967,54,54,45-54 years old,Female,Employee (working full-time in private sector),Polytechnic,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Neutral,Neutral,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,"$2,000-$2,999","$6,000-$7,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Female,Low (below $3k),Medium ($4k to $9.9k),No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,Neutral,Neutral,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
747,GEN24_2873,1968,53,53,45-54 years old,Male,Employee (working full-time in private sector),Secondary school,"Electricity, Gas, Steam and Air Conditioning Supply","Blue Collar Skilled (Technician, Taxi Driver, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Agree,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$2,000-$2,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,Neutral,Neutral,No,No,No,Yes,No,Yes,No,Fairness_Cheating
752,GEN24_2875,1979,42,42,35-44 years old,Female,Employee (working full-time in private sector),Polytechnic,Health and Social Services,"Non-management (Clerical/ Technical staff, General Worker)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,"$2,000-$2,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Female,Low (below $3k),Medium ($4k to $9.9k),No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,Neutral,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
761,GEN24_2876,1991,30,30,25-34 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Information and Communications,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Single,No,"$3,000-$3,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,25-34 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Single,No,Yes,No,Yes,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Loyal_betrayal
764,GEN24_2878,1984,37,37,35-44 years old,Female,Employee (working full-time in private sector),Secondary school,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Agree,Agree,Neutral,Disagree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,"$2,000-$2,999","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,Neutral,B2B,Neutral,No,No,No,Yes,No,Yes,No,Fairness_Cheating
431,GEN24_2881,1984,37,37,35-44 years old,Female,Employee (working full-time in private sector),"University postgraduate (e.g. MA, MSc., MBA, PhD)",Financial and Insurance Activities,"Senior Management (CEO, COO, Director & above, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Agree,Agree,People should have the right to say what they want without being punished for it (or face any consequences),3,Married,Yes,"$6,000-$7,999","$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Female,Medium ($3k to $7.9k),High ($10k and above),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
586,GEN24_2882,1998,23,23,16-24 years old,Female,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Information and Communications,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Neutral,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Single,No,"$2,000-$2,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,16-24 yo,Female,Low (below $3k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Single,No,Yes,No,Yes,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,Neutral,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Liberty_Oppression
763,GEN24_2883,1954,67,67,65 years old and above,Female,Employee (working full-time in public service),"University undergraduate (i.e., general/honours degree)",Singapore Public Service/ Government employees,"Senior Management (CEO, COO, Director & above, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,"$4,000-$5,999","$15,000-$19,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,65 yo +,Female,Medium ($3k to $7.9k),High ($10k and above),No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
748,GEN24_2885,1988,33,33,25-34 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)","Arts, Entertainment and Recreation",Business owner/ Sole proprietor/ Self-employed,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",4,Single,No,"$4,000-$5,999","$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,25-34 yo,Male,Medium ($3k to $7.9k),High ($10k and above),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Single,No,Yes,No,Yes,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,Neutral,Neutral,T2B,No,No,No,Yes,No,Yes,No,Authority_Subversion
808,GEN24_2886,1971,50,50,45-54 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Information and Communications,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",2,1,3,Agree,Agree,Agree,Agree,People should have the right to say what they want without being punished for it (or face any consequences),4,Married,Yes,"$6,000-$7,999","$15,000-$19,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Male,Medium ($3k to $7.9k),High ($10k and above),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
812,GEN24_2888,1975,46,46,45-54 years old,Male,Employee (working full-time in private sector),Polytechnic,Financial and Insurance Activities,Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Agree,Agree,Agree,Agree,People should have the right to say what they want without being punished for it (or face any consequences),3,Married,Yes,"$6,000-$7,999","$15,000-$19,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Male,Medium ($3k to $7.9k),High ($10k and above),No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Liberty_Oppression
50,GEN24_2902,1979,42,42,35-44 years old,Male,Employee (working full-time in private sector),Secondary school,Administrative and Support Service Activities,"Non-management (Clerical/ Technical staff, General Worker)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",1,2,3,Agree,Agree,Agree,Agree,People should have the right to say what they want without being punished for it (or face any consequences),4,Single,No,"$1,000-$1,999","$1,000-$1,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Male,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Single,No,Yes,No,Yes,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
55,GEN24_2904,1972,49,49,45-54 years old,Female,Employee (working full-time in private sector),Junior College/Centralised Institute,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$1,000-$1,999","$3,000-$3,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Female,Low (below $3k),Low (below $4k),No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Harm_Care
59,GEN24_2906,1954,67,67,65 years old and above,Female,Housewife / homemaker,Secondary school,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Neutral,Agree,Agree,Disagree,People should have the right to say what they want without being punished for it (or face any consequences),4,Married,Yes,No personal income,No household income,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,65 yo +,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",Neutral,T2B,T2B,B2B,T2B,No,No,No,Yes,No,Yes,No,Harm_Care
